empleado_id,nombre,apellido,tienda_id,puesto,fecha_contratacion,salario
1,Guiomar,Plana,18,Seguridad,2020-06-08,1884.3
2,Jose Francisco,Coloma,1,Cajero,2022-03-20,1320.39
3,Adelardo,Campillo,5,PANADERO,2023-07-24,1257.65
4,Isidoro,Echeverría,12,PANADERO,2023/11/05,2084.04
5,Josefa,Villaverde,14,Reponedor,2020/02/10,1266.93
6,Cecilia,Ibañez,12,Cajero,2025-02-02,2638.28
7,Domingo,Sastre,7,SEGURIDAD,19-06-2016,1599.25
8,Abril,Molins,4,Encargado,2025-06-13,2448.19
9,Tatiana,Salas,14,Panadero,2021-09-27,2399.16
10,Loida,Vargas,8,Reponedor,2019-09-11,2761.93
11,Victoria,Salmerón,6, Carnicero ,2024-11-13,1239.66
12,Mar,Taboada,11,Carnicero,2019-12-13,2483.58
13,Maricruz,Huertas,8,ENCARGADO,27-03-2024,1454.72
14,Leonel,Vázquez,4,Carnice ro,2020-04-30,2595.47
15,Jorge,Llobet,16,reponedor,2019/11/02,1519.32
16,Leyre,Macias,15,Encargado,2017-07-30,1688.31
17,Nico,Montenegro,8,Reponedor,2024-10-27,1237.86
18,Cecilio,Chacón,7,Carnicero,2016-08-28,1725.22
19,Rodolfo,Corominas,3,Encargado,2022-10-08,1761.83
20,Bernardo,Ribera,17,Carnicero,2019-06-26,2287.23
21,Candela,Solano,18,Encargado,2019-07-29,2702.78
22,Hilario,Rivera,4,Encargado,2019-04-14,1485.71
23,María Luisa,Aller,9,Cajero,2024-06-03,1373.44
24,María Del Carmen,Pintor,14,ENCARGADO,2020-03-31,2365.67
25,Pastor,Martín,11,Carnicero,2023-04-15,2169.93
26,Reyna,Rius,17,Caje ro,2020/12/02,1816.31
27,Macaria,Giménez,19,Reponedor,2020-05-15,1607.56
28,Leandro,Ruano,14,Cajero,2020-05-04,2031.87
29,Roque,Navarrete,18,Seguridad,2022-05-10,2351.09
30,Nazaret,Quiroga,7,encargado,2022-12-19,1890.08
31,Priscila,Solsona,11,Panadero,2025-02-10,1702.27
32,Esther,Amores,4,Seguridad,2024-12-22,2640.07
33,Dora,Amores,17,Encargado,2015-12-04,2267.03
34,Tiburcio,Cerdá,11,Carnicero,2024-07-14,2315.53
35,Germán,Ayllón,18,Reponedor,11/11/2017,
36,Nacio,Galán,13,SEGURIDAD,2020-01-01,2397.02
37,Nicolás,Pinilla,6,Panadero,2018-01-22,2110.57
38,Paz,Robles,13,Panadero,2017-10-10,2533.96
39,Ceferino,Sosa,10,Encargado,2015/03/19,1536.29
40,Calista,Azorin,19,Panadero,2025-12-30,2247.53
41,Pancho,Gomez,15,Carnicero,2022/02/24,
42,Mercedes,Arjona,7,Panadero,18/04/2023,1957.1
43,Jose Miguel,Flores,6,Seguridad,2024-03-25,1335.67
44,Ester,Corominas,17,Seguridad,2017-08-16,2212.71
45,Ainara,Carbó,11,Caje ro,2021-03-15,2509.48
46,Isaías,Sola,8, Seguridad ,2022-09-10,1696.67
47,María Fernanda,Peinado,7,Reponedor,2016/11/05,1239.08
48,Elvira,Carbó,8,Carnicero,2023/07/22,2178.04
49,Fernando,Merino,3,carnicero,2016-03-10,1863.11
50,Amancio,Mesa,19,Reponedor,2021-05-01,2349.35
51,Vilma,Perez,13,Carnicero,2019-05-13,1839.44
52,Ligia,Fiol,5,Seguridad,02-11-2015,2300.2
53,Jessica,Herrero,4,Carnicero,2016-02-14,1550.15
54,María Teresa,Mata,17,Carnicero,2024-05-08,1280.35
55,Eli,Carrillo,8,CAJERO,2023-10-04,1930.34
56,Clarisa,Armengol,15,Seguridad,2018-10-26,2049.81
57,Tiburcio,Pellicer,18,Panadero,2015-10-04,1707.68
58,Flora,Nogueira,15,Panadero,2015-02-20,2504.01
59,Sosimo,Trillo,17,Carnicero,28-02-2016,
60,Porfirio,Segura,18,Carnicero,2022-10-12,2635.53
61,Trinidad,Echeverría,16,Carnicero,2023-01-26,1614.71
62,Florina,León,8,Seguridad,2021-10-10,1643.7
63,Zaira,Tomás,17,Carnicero,2020-02-11,2202.8
64,Paola,Ledesma,9,Carnicero,2018-07-18,1323.97
65,Jose Luis,Bolaños,10,Reponedor,25/01/2018,1634.74
66,Virgilio,Hervás,11,Panade ro,2023-04-03,1328.92
67,Clotilde,Pinilla,5,Reponedor,2018-09-13,1812.86
68,Ana Belén,Morcillo,5,Seguridad,31-12-2016,1542.32
69,Ibán,Pacheco,14,Carnicero,2023-10-10,1729.41
70,Noé,Losa,15,Carnicero,2024-09-06,1299.63
71,Judith,Llorente,14,Carnicero,2021/02/10,2647.74
72,Asunción,Feijoo,19,Seguridad,2015-12-10,1231.25
73,Lola,Ramos,19,Carnicero,16-05-2020,1963.17
74,Marta,Hernandez,12,Encargado,2022-08-06,2405.56
75,Flavia,Tudela,14,Panadero,2019-12-06,2396.03
76,Ale,Buendía,18,Panadero,2018-03-27,2636.5
77,Sandalio,Hervia,16,Reponedor,2018-05-15,1636.7
78,Cándida,Peinado,16,Cajero,2020-03-16,1822.17
79,Bernarda,Núñez,13,Seguridad,2019-09-06,1464.07
80,Marcia,Muro,15,Reponedor,2018-11-14,2769.16
81,Wilfredo,Lillo,18,Cajero,2018-05-16,2651.09
82,Jerónimo,Carrillo,19,Panadero,2022-12-07,2260.8
83,Maximiano,Carreras,3,Seguridad,04/03/2023,1885.78
84,María Belén,Esteve,15,Reponedor,08/02/2017,1280.46
85,Mamen,Tomé,13,Encargado,2018-01-15,1538.66
86,Dolores,Zamorano,11,ENCARGADO,2021-07-25,2417.97
87,Cornelio,Ferrera,13,Encargado,05/04/2018,2403.22
88,Poncio,Escobar,14,Encargado,2018-04-29,2535.86
89,Leandra,Castañeda,16,Cajero,2018-01-06,2398.44
90,Baltasar,Manzano,2,Encargado,2022-09-02,1558.76
91,Edmundo,Tudela,3,Seguridad,2016-02-17,1264.41
92,Albano,Luís,1,Reponedor,2020-02-29,1518.98
93,Valero,Niño,1,Panade ro,2017-01-10,1443.81
94,Aurelio,Iriarte,5,Carnicero,2025-05-08,2271.13
95,Ale,Carbonell,19,Reponedor,2024-01-16,1944.05
96,Salvador,Téllez,9,Encargado,25/10/2015,1468.46
97,Eva,Baeza,20,Seguridad,2016-09-01,2349.37
98,Obdulia,Mateu,6,Encargado,2015-12-09,1372.96
99,Jose Ramón,Carrasco,1,Encargado,2021-02-19,2121.27
100,Sigfrido,Gonzalez,13,Carnicero,2023-07-13,2706.35
101,Ricardo,Sanjuan,7,Cajero,28/12/2024,2147.36
